CustomerID,CustomerName,Gender,AgeGroup,Country,City,MembershipTier,SignupDate
28,Fan_00028,Female,45-54,UK,Liverpool,Non-Member,2023-02-07
29,Fan_00029,Male,55+,UK,Liverpool,Red Member,2024-03-17
30,Fan_00030,Female,Under 18,UK,Liverpool,Non-Member,2022-06-09
31,Fan_00031,Non-binary,55+,UK,Liverpool,Non-Member,2022-10-22
32,Fan_00032,Male,45-54,China,International City,Non-Member,2024-11-17
33,Fan_00033,Female,55+,Ireland,International City,Red Member,2023-06-01
34,Fan_00034,Male,45-54,UK,London,Premium/Lounge,2022-12-22
35,Fan_00035,Female,Under 18,UK,Liverpool,Non-Member,2022-01-13
36,Fan_00036,Male,45-54,UK,London,Non-Member,2020-06-24
37,Fan_00037,Female,Under 18,China,International City,Premium/Lounge,2022-12-26
38,Fan_00038,Male,18-24,China,International City,Full Member,2022-08-31
39,Fan_00039,Male,25-34,Egypt,International City,Red Member,2024-11-21
40,Fan_00040,Female,18-24,Thailand,International City,Red Member,2024-03-26
41,Fan_00041,Non-binary,18-24,China,International City,Junior Member,2021-09-30
42,Fan_00042,Non-binary,55+,USA,International City,Red Member,2022-06-16
43,Fan_00043,Female,Under 18,Egypt,International City,Non-Member,2021-04-05
44,Fan_00044,Non-binary,45-54,UK,London,Non-Member,2023-04-20
45,Fan_00045,Non-binary,55+,UK,London,Non-Member,2021-04-13
46,Fan_00046,Female,Under 18,UK,Liverpool,Red Member,2021-05-02
47,Fan_00047,Male,45-54,UK,Liverpool,Non-Member,2024-01-21
48,Fan_00048,Non-binary,35-44,Thailand,International City,Non-Member,2024-05-25
49,Fan_00049,Female,18-24,Norway,International City,Non-Member,2020-07-17
50,Fan_00050,Female,25-34,Ireland,International City,Red Member,2022-04-21
51,Fan_00051,Non-binary,Under 18,USA,International City,Junior Member,2023-08-31
52,Fan_00052,Male,Under 18,Ireland,International City,Red Member,2024-01-31
53,Fan_00053,Male,18-24,UK,Liverpool,Non-Member,2021-01-24
54,Fan_00054,Female,18-24,Egypt,International City,Red Member,2021-01-10
55,Fan_00055,Male,35-44,UK,Liverpool,Full Member,2020-07-19
56,Fan_00056,Non-binary,Under 18,UK,Liverpool,Non-Member,2024-03-23
57,Fan_00057,Female,35-44,UK,London,Non-Member,2024-11-05
58,Fan_00058,Male,18-24,USA,International City,Red Member,2020-01-05
59,Fan_00059,Female,25-34,UK,London,Red Member,2023-11-27
60,Fan_00060,Non-binary,55+,China,International City,Junior Member,2022-09-23
61,Fan_00061,Male,Under 18,UK,London,Full Member,2024-02-15
62,Fan_00062,Male,55+,Egypt,International City,Red Member,2020-04-27
63,Fan_00063,Non-binary,45-54,UK,Liverpool,Non-Member,2020-04-26
64,Fan_00064,Male,18-24,Egypt,International City,Non-Member,2023-05-03
65,Fan_00065,Male,35-44,UK,Liverpool,Non-Member,2023-03-12
66,Fan_00066,Male,45-54,UK,Liverpool,Non-Member,2022-05-08
67,Fan_00067,Non-binary,45-54,Ireland,International City,Red Member,2021-10-09
68,Fan_00068,Non-binary,25-34,UK,London,Non-Member,2021-06-27
69,Fan_00069,Male,55+,USA,International City,Full Member,2021-09-06
70,Fan_00070,Female,Under 18,USA,International City,Non-Member,2022-07-27
71,Fan_00071,Non-binary,Under 18,Thailand,International City,Non-Member,2023-01-06
72,Fan_00072,Male,25-34,UK,Liverpool,Non-Member,2024-12-05
73,Fan_00073,Male,35-44,UK,London,Red Member,2023-12-11
74,Fan_00074,Non-binary,45-54,UK,Liverpool,Non-Member,2023-09-29
75,Fan_00075,Female,55+,Egypt,International City,Non-Member,2024-12-03
76,Fan_00076,Male,55+,UK,London,Full Member,2020-11-14
77,Fan_00077,Male,55+,UK,London,Red Member,2021-02-20
78,Fan_00078,Non-binary,25-34,Australia,International City,Red Member,2022-09-27
79,Fan_00079,Male,Under 18,UK,Liverpool,Full Member,2022-05-17
80,Fan_00080,Female,18-24,UK,London,Full Member,2021-06-20
81,Fan_00081,Non-binary,55+,UK,Liverpool,Red Member,2023-02-22
82,Fan_00082,Non-binary,18-24,UK,London,Red Member,2020-03-14
83,Fan_00083,Male,35-44,UK,Liverpool,Non-Member,2020-03-26
84,Fan_00084,Male,25-34,UK,London,Non-Member,2023-10-28
85,Fan_00085,Female,45-54,UK,Liverpool,Red Member,2023-06-25
86,Fan_00086,Male,18-24,China,International City,Non-Member,2024-06-26
87,Fan_00087,Male,18-24,UK,Liverpool,Junior Member,2021-11-11
88,Fan_00088,Non-binary,55+,USA,International City,Non-Member,2021-06-30
89,Fan_00089,Male,35-44,UK,Liverpool,Non-Member,2024-10-24
90,Fan_00090,Male,18-24,Norway,International City,Red Member,2021-12-17
91,Fan_00091,Male,18-24,UK,Liverpool,Non-Member,2023-09-13
92,Fan_00092,Female,Under 18,UK,London,Premium/Lounge,2021-07-25
93,Fan_00093,Female,55+,UK,Liverpool,Red Member,2021-11-09
94,Fan_00094,Female,18-24,UK,London,Full Member,2021-06-27
95,Fan_00095,Female,25-34,UK,London,Junior Member,2024-05-29
96,Fan_00096,Non-binary,Under 18,UK,Liverpool,Red Member,2023-03-26
97,Fan_00097,Non-binary,35-44,UK,London,Non-Member,2022-11-30
98,Fan_00098,Non-binary,55+,Egypt,International City,Junior Member,2024-02-18
99,Fan_00099,Male,25-34,Australia,International City,Red Member,2020-05-23
100,Fan_00100,Female,45-54,Australia,International City,Red Member,2023-09-20
101,Fan_00101,Female,45-54,UK,Liverpool,Non-Member,2023-09-27
102,Fan_00102,Female,35-44,USA,International City,Junior Member,2021-08-28
103,Fan_00103,Male,18-24,Egypt,International City,Red Member,2023-09-23
104,Fan_00104,Male,45-54,UK,Liverpool,Full Member,2021-09-08
105,Fan_00105,Non-binary,Under 18,USA,International City,Non-Member,2021-08-10
106,Fan_00106,Non-binary,45-54,UK,Liverpool,Full Member,2021-10-21
107,Fan_00107,Female,35-44,USA,International City,Junior Member,2021-03-13
108,Fan_00108,Female,55+,Egypt,International City,Non-Member,2023-09-11
109,Fan_00109,Non-binary,55+,UK,London,Full Member,2021-11-17
110,Fan_00110,Male,55+,UK,Liverpool,Non-Member,2021-04-05
111,Fan_00111,Male,18-24,UK,London,Red Member,2023-06-05
112,Fan_00112,Male,35-44,China,International City,Red Member,2023-07-13
113,Fan_00113,Male,55+,Thailand,International City,Junior Member,2022-02-25
114,Fan_00114,Female,18-24,Norway,International City,Non-Member,2023-09-05
115,Fan_00115,Male,Under 18,Australia,International City,Premium/Lounge,2022-05-20
116,Fan_00116,Non-binary,45-54,UK,London,Red Member,2020-04-12
117,Fan_00117,Male,Under 18,Egypt,International City,Red Member,2020-09-30
118,Fan_00118,Non-binary,45-54,USA,International City,Full Member,2023-05-04
119,Fan_00119,Female,45-54,UK,Liverpool,Junior Member,2022-10-30
120,Fan_00120,Non-binary,35-44,USA,International City,Non-Member,2024-03-03
121,Fan_00121,Female,25-34,Norway,International City,Premium/Lounge,2021-05-21
122,Fan_00122,Female,45-54,Ireland,International City,Red Member,2023-07-07
123,Fan_00123,Male,55+,UK,London,Non-Member,2021-04-25
124,Fan_00124,Non-binary,Under 18,UK,London,Non-Member,2020-11-04
125,Fan_00125,Male,55+,UK,London,Non-Member,2020-05-11
126,Fan_00126,Female,25-34,USA,International City,Red Member,2022-08-12
127,Fan_00127,Male,18-24,USA,International City,Red Member,2022-03-08
128,Fan_00128,Non-binary,55+,China,International City,Non-Member,2024-10-20
129,Fan_00129,Non-binary,35-44,China,International City,Red Member,2020-01-13
130,Fan_00130,Female,35-44,UK,London,Red Member,2024-03-10
131,Fan_00131,Non-binary,45-54,China,International City,Non-Member,2022-09-26
132,Fan_00132,Female,Under 18,UK,London,Red Member,2021-11-19
133,Fan_00133,Non-binary,35-44,Australia,International City,Junior Member,2020-12-04
134,Fan_00134,Male,45-54,USA,International City,Red Member,2020-02-25
135,Fan_00135,Non-binary,45-54,USA,International City,Full Member,2020-02-25
136,Fan_00136,Male,35-44,UK,Liverpool,Non-Member,2020-04-12
137,Fan_00137,Male,35-44,UK,London,Red Member,2021-11-22
138,Fan_00138,Female,25-34,China,International City,Premium/Lounge,2024-08-30
139,Fan_00139,Female,Under 18,USA,International City,Red Member,2020-02-09
140,Fan_00140,Non-binary,Under 18,China,International City,Red Member,2021-04-04
141,Fan_00141,Male,55+,Ireland,International City,Non-Member,2024-03-24
142,Fan_00142,Male,Under 18,UK,Liverpool,Full Member,2020-11-08
143,Fan_00143,Non-binary,Under 18,UK,London,Full Member,2021-03-22
144,Fan_00144,Non-binary,25-34,USA,International City,Premium/Lounge,2022-01-25
145,Fan_00145,Non-binary,55+,UK,Liverpool,Non-Member,2024-05-11
146,Fan_00146,Male,45-54,UK,Liverpool,Non-Member,2021-09-30
147,Fan_00147,Non-binary,35-44,Thailand,International City,Red Member,2024-01-04
148,Fan_00148,Non-binary,55+,UK,London,Non-Member,2020-07-27
149,Fan_00149,Female,55+,Australia,International City,Full Member,2024-07-07
150,Fan_00150,Non-binary,Under 18,UK,Liverpool,Red Member,2022-12-27
151,Fan_00151,Non-binary,25-34,USA,International City,Non-Member,2022-11-02
152,Fan_00152,Female,Under 18,Ireland,International City,Red Member,2024-08-11
153,Fan_00153,Male,35-44,Norway,International City,Red Member,2023-07-25
154,Fan_00154,Non-binary,18-24,USA,International City,Red Member,2020-12-26
155,Fan_00155,Non-binary,55+,China,International City,Non-Member,2023-06-15
156,Fan_00156,Female,35-44,Egypt,International City,Red Member,2024-08-18
157,Fan_00157,Non-binary,25-34,China,International City,Red Member,2024-10-10
158,Fan_00158,Male,25-34,UK,Liverpool,Red Member,2021-05-14
159,Fan_00159,Female,45-54,China,International City,Full Member,2023-09-30
160,Fan_00160,Female,25-34,UK,London,Non-Member,2022-09-25
161,Fan_00161,Female,25-34,UK,London,Non-Member,2023-05-05
162,Fan_00162,Female,45-54,Australia,International City,Non-Member,2022-11-24
163,Fan_00163,Non-binary,35-44,UK,London,Red Member,2023-02-11
164,Fan_00164,Male,55+,China,International City,Red Member,2023-08-15
165,Fan_00165,Female,35-44,China,International City,Non-Member,2020-07-09
166,Fan_00166,Non-binary,18-24,UK,London,Non-Member,2023-09-21
167,Fan_00167,Female,35-44,Thailand,International City,Full Member,2022-12-23
168,Fan_00168,Non-binary,45-54,UK,Liverpool,Red Member,2021-12-21
169,Fan_00169,Female,25-34,Australia,International City,Non-Member,2021-05-29
170,Fan_00170,Male,25-34,UK,London,Non-Member,2024-03-01
171,Fan_00171,Non-binary,18-24,Egypt,International City,Non-Member,2021-03-19
172,Fan_00172,Female,25-34,China,International City,Junior Member,2023-04-22
173,Fan_00173,Non-binary,45-54,China,International City,Non-Member,2020-07-24
174,Fan_00174,Female,18-24,UK,London,Non-Member,2020-01-29
175,Fan_00175,Non-binary,18-24,China,International City,Non-Member,2020-04-03
176,Fan_00176,Non-binary,18-24,UK,Liverpool,Full Member,2024-11-13
177,Fan_00177,Female,Under 18,China,International City,Non-Member,2023-03-21
178,Fan_00178,Female,25-34,UK,Liverpool,Non-Member,2020-04-15
179,Fan_00179,Female,Under 18,UK,Liverpool,Non-Member,2022-03-31
180,Fan_00180,Male,45-54,Norway,International City,Full Member,2023-11-06
181,Fan_00181,Non-binary,25-34,UK,London,Non-Member,2021-05-23
182,Fan_00182,Female,45-54,UK,Liverpool,Full Member,2024-06-07
183,Fan_00183,Male,45-54,Thailand,International City,Red Member,2022-07-11
184,Fan_00184,Female,45-54,USA,International City,Red Member,2021-09-17
185,Fan_00185,Non-binary,Under 18,Egypt,International City,Full Member,2024-02-24
186,Fan_00186,Male,55+,UK,Liverpool,Non-Member,2021-06-25
187,Fan_00187,Male,18-24,Ireland,International City,Non-Member,2020-12-21
188,Fan_00188,Male,18-24,Egypt,International City,Non-Member,2022-04-16
189,Fan_00189,Non-binary,45-54,USA,International City,Red Member,2021-08-19
190,Fan_00190,Non-binary,25-34,UK,London,Junior Member,2024-10-26
191,Fan_00191,Male,55+,USA,International City,Non-Member,2021-06-25
192,Fan_00192,Non-binary,55+,Ireland,International City,Non-Member,2022-05-20
193,Fan_00193,Non-binary,18-24,UK,Liverpool,Non-Member,2024-08-19
194,Fan_00194,Male,25-34,UK,London,Full Member,2024-03-13
195,Fan_00195,Female,35-44,Egypt,International City,Non-Member,2022-08-17
196,Fan_00196,Female,55+,Australia,International City,Red Member,2021-07-11
197,Fan_00197,Non-binary,35-44,Norway,International City,Red Member,2020-06-13
198,Fan_00198,Male,35-44,Thailand,International City,Junior Member,2021-10-22
199,Fan_00199,Female,Under 18,Thailand,International City,Non-Member,2021-04-13
200,Fan_00200,Non-binary,45-54,Australia,International City,Non-Member,2024-04-15
201,Fan_00201,Female,45-54,Australia,International City,Non-Member,2024-04-11
202,Fan_00202,Male,35-44,China,International City,Red Member,2023-08-27
203,Fan_00203,Female,18-24,USA,International City,Full Member,2022-06-11
204,Fan_00204,Female,Under 18,Ireland,International City,Red Member,2021-12-13
205,Fan_00205,Female,25-34,USA,International City,Junior Member,2020-08-02
206,Fan_00206,Non-binary,35-44,UK,London,Non-Member,2023-09-18
207,Fan_00207,Non-binary,Under 18,USA,International City,Red Member,2020-06-29
208,Fan_00208,Male,35-44,UK,London,Red Member,2024-08-16
209,Fan_00209,Non-binary,35-44,UK,Liverpool,Red Member,2020-04-21
210,Fan_00210,Non-binary,35-44,UK,Liverpool,Full Member,2022-06-24
211,Fan_00211,Male,18-24,China,International City,Non-Member,2023-01-29
212,Fan_00212,Female,55+,UK,Liverpool,Red Member,2020-09-05
213,Fan_00213,Non-binary,18-24,UK,Liverpool,Junior Member,2020-11-20
214,Fan_00214,Non-binary,35-44,UK,Liverpool,Non-Member,2021-04-05
215,Fan_00215,Male,55+,UK,Liverpool,Non-Member,2022-10-17
216,Fan_00216,Female,45-54,China,International City,Junior Member,2021-07-13
217,Fan_00217,Female,35-44,USA,International City,Non-Member,2022-07-24
218,Fan_00218,Male,35-44,Egypt,International City,Non-Member,2023-05-12
219,Fan_00219,Non-binary,18-24,Egypt,International City,Non-Member,2021-07-19
220,Fan_00220,Female,25-34,China,International City,Red Member,2021-07-01
221,Fan_00221,Female,45-54,UK,London,Full Member,2023-09-13
222,Fan_00222,Male,35-44,Norway,International City,Red Member,2022-09-18
223,Fan_00223,Non-binary,35-44,UK,London,Red Member,2021-10-21
224,Fan_00224,Male,45-54,UK,Liverpool,Red Member,2021-04-23
225,Fan_00225,Female,Under 18,China,International City,Red Member,2024-03-05
226,Fan_00226,Non-binary,35-44,Norway,International City,Red Member,2023-09-21
227,Fan_00227,Male,35-44,Ireland,International City,Non-Member,2020-09-15
228,Fan_00228,Non-binary,25-34,Norway,International City,Non-Member,2024-11-25
229,Fan_00229,Male,45-54,USA,International City,Red Member,2020-02-01
230,Fan_00230,Male,35-44,China,International City,Full Member,2020-11-12
231,Fan_00231,Female,25-34,UK,Liverpool,Full Member,2023-11-19
232,Fan_00232,Non-binary,Under 18,USA,International City,Red Member,2024-10-11
233,Fan_00233,Non-binary,35-44,Australia,International City,Red Member,2023-07-07
234,Fan_00234,Female,45-54,China,International City,Non-Member,2023-06-18
235,Fan_00235,Non-binary,25-34,UK,London,Non-Member,2024-03-09
236,Fan_00236,Male,55+,UK,Liverpool,Junior Member,2024-11-22
237,Fan_00237,Non-binary,25-34,UK,Liverpool,Non-Member,2020-04-04
238,Fan_00238,Female,25-34,UK,Liverpool,Red Member,2022-06-01
239,Fan_00239,Female,45-54,UK,London,Junior Member,2024-06-11
240,Fan_00240,Male,45-54,UK,London,Red Member,2023-06-23
241,Fan_00241,Male,35-44,Australia,International City,Full Member,2020-10-20
242,Fan_00242,Female,35-44,UK,Liverpool,Non-Member,2023-09-27
243,Fan_00243,Female,25-34,UK,Liverpool,Junior Member,2023-01-24
244,Fan_00244,Female,45-54,UK,London,Non-Member,2023-08-01
245,Fan_00245,Non-binary,25-34,USA,International City,Red Member,2024-09-27
246,Fan_00246,Female,35-44,UK,London,Non-Member,2021-04-30
247,Fan_00247,Non-binary,25-34,UK,Liverpool,Junior Member,2021-08-27
248,Fan_00248,Non-binary,35-44,UK,Liverpool,Non-Member,2020-01-17
249,Fan_00249,Non-binary,55+,Egypt,International City,Non-Member,2023-05-26
250,Fan_00250,Female,25-34,China,International City,Premium/Lounge,2024-06-24
251,Fan_00251,Female,18-24,UK,Liverpool,Full Member,2021-01-24
252,Fan_00252,Female,55+,Thailand,International City,Premium/Lounge,2024-01-16
253,Fan_00253,Non-binary,55+,China,International City,Non-Member,2023-07-10
254,Fan_00254,Non-binary,Under 18,UK,Liverpool,Non-Member,2024-06-03
255,Fan_00255,Male,45-54,USA,International City,Red Member,2024-02-08
256,Fan_00256,Female,25-34,UK,London,Premium/Lounge,2022-04-30
257,Fan_00257,Non-binary,25-34,UK,London,Red Member,2022-10-24
258,Fan_00258,Female,35-44,UK,Liverpool,Non-Member,2024-03-08
259,Fan_00259,Female,Under 18,UK,Liverpool,Non-Member,2024-03-24
260,Fan_00260,Non-binary,55+,UK,Liverpool,Red Member,2024-09-28
261,Fan_00261,Female,Under 18,Egypt,International City,Red Member,2020-01-29
262,Fan_00262,Female,25-34,UK,Liverpool,Junior Member,2024-03-13
263,Fan_00263,Female,45-54,Australia,International City,Red Member,2024-08-11
264,Fan_00264,Female,Under 18,Ireland,International City,Junior Member,2021-04-23
265,Fan_00265,Male,45-54,Norway,International City,Full Member,2021-11-02
266,Fan_00266,Male,55+,Thailand,International City,Non-Member,2023-07-25
267,Fan_00267,Non-binary,25-34,USA,International City,Full Member,2022-04-16
268,Fan_00268,Male,25-34,UK,London,Red Member,2020-08-25
269,Fan_00269,Non-binary,18-24,UK,London,Red Member,2022-07-18
270,Fan_00270,Non-binary,55+,UK,Liverpool,Red Member,2022-05-08
271,Fan_00271,Non-binary,55+,Thailand,International City,Non-Member,2022-04-29
272,Fan_00272,Male,35-44,Ireland,International City,Full Member,2022-04-15
273,Fan_00273,Female,18-24,UK,London,Red Member,2022-06-29
274,Fan_00274,Male,55+,UK,Liverpool,Red Member,2023-01-20
275,Fan_00275,Female,Under 18,Ireland,International City,Red Member,2021-07-19
276,Fan_00276,Female,Under 18,UK,Liverpool,Full Member,2021-03-10
277,Fan_00277,Non-binary,45-54,Ireland,International City,Non-Member,2020-04-13
278,Fan_00278,Male,45-54,UK,London,Non-Member,2020-05-20
279,Fan_00279,Non-binary,18-24,China,International City,Full Member,2021-03-18
280,Fan_00280,Male,45-54,UK,London,Non-Member,2021-07-21
281,Fan_00281,Non-binary,25-34,UK,Liverpool,Non-Member,2020-08-13
282,Fan_00282,Male,18-24,Ireland,International City,Non-Member,2022-01-03
283,Fan_00283,Male,18-24,UK,Liverpool,Non-Member,2020-04-17
284,Fan_00284,Non-binary,Under 18,UK,Liverpool,Premium/Lounge,2020-05-10
285,Fan_00285,Female,25-34,Norway,International City,Red Member,2023-04-30
286,Fan_00286,Male,45-54,UK,Liverpool,Non-Member,2024-01-29
287,Fan_00287,Non-binary,25-34,Ireland,International City,Red Member,2023-08-10
288,Fan_00288,Female,35-44,UK,London,Red Member,2023-11-06
289,Fan_00289,Female,Under 18,UK,Liverpool,Non-Member,2021-10-21
290,Fan_00290,Male,Under 18,Thailand,International City,Non-Member,2021-07-17
291,Fan_00291,Non-binary,45-54,Thailand,International City,Full Member,2023-12-29
292,Fan_00292,Non-binary,45-54,UK,London,Non-Member,2022-07-18
293,Fan_00293,Non-binary,35-44,Norway,International City,Non-Member,2024-06-12
294,Fan_00294,Male,55+,Australia,International City,Full Member,2024-12-02
295,Fan_00295,Non-binary,55+,China,International City,Non-Member,2022-05-30
296,Fan_00296,Male,35-44,USA,International City,Red Member,2024-08-21
297,Fan_00297,Female,35-44,USA,International City,Junior Member,2020-07-13
298,Fan_00298,Non-binary,25-34,UK,Liverpool,Red Member,2020-11-08
299,Fan_00299,Female,Under 18,Australia,International City,Non-Member,2024-08-30
300,Fan_00300,Male,55+,UK,London,Junior Member,2022-02-02
301,Fan_00301,Non-binary,45-54,UK,Liverpool,Full Member,2021-11-06
302,Fan_00302,Male,35-44,Australia,International City,Red Member,2024-11-24
303,Fan_00303,Female,55+,Australia,International City,Non-Member,2021-08-12
304,Fan_00304,Female,25-34,Thailand,International City,Non-Member,2023-03-29
305,Fan_00305,Male,18-24,Norway,International City,Full Member,2022-09-14
306,Fan_00306,Female,45-54,UK,Liverpool,Red Member,2020-08-23
307,Fan_00307,Female,45-54,China,International City,Non-Member,2024-07-11
308,Fan_00308,Non-binary,45-54,USA,International City,Full Member,2023-10-14
309,Fan_00309,Non-binary,Under 18,Ireland,International City,Full Member,2023-09-09
310,Fan_00310,Female,Under 18,Australia,International City,Non-Member,2021-07-13
311,Fan_00311,Female,25-34,Australia,International City,Red Member,2020-01-13
312,Fan_00312,Non-binary,55+,UK,Liverpool,Red Member,2020-05-22
313,Fan_00313,Male,Under 18,UK,Liverpool,Premium/Lounge,2022-12-22
314,Fan_00314,Female,25-34,UK,London,Non-Member,2022-01-27
315,Fan_00315,Non-binary,45-54,UK,Liverpool,Non-Member,2020-04-17
316,Fan_00316,Non-binary,Under 18,UK,London,Junior Member,2020-06-16
317,Fan_00317,Female,35-44,UK,Liverpool,Full Member,2022-06-24
318,Fan_00318,Female,18-24,USA,International City,Premium/Lounge,2022-11-15
319,Fan_00319,Male,25-34,UK,London,Junior Member,2023-10-21
320,Fan_00320,Female,45-54,Thailand,International City,Junior Member,2021-09-23
321,Fan_00321,Non-binary,Under 18,UK,London,Non-Member,2021-02-22
322,Fan_00322,Male,25-34,UK,Liverpool,Non-Member,2021-11-02
323,Fan_00323,Non-binary,35-44,UK,London,Non-Member,2020-09-21
324,Fan_00324,Male,45-54,UK,Liverpool,Full Member,2024-09-02
325,Fan_00325,Female,Under 18,Australia,International City,Red Member,2024-10-30
326,Fan_00326,Male,35-44,China,International City,Non-Member,2022-07-30
327,Fan_00327,Non-binary,35-44,UK,Liverpool,Full Member,2022-04-08
328,Fan_00328,Non-binary,35-44,China,International City,Non-Member,2020-08-23
329,Fan_00329,Male,25-34,USA,International City,Non-Member,2024-06-29
330,Fan_00330,Female,55+,Thailand,International City,Red Member,2020-06-29
331,Fan_00331,Male,18-24,USA,International City,Red Member,2023-04-21
332,Fan_00332,Non-binary,Under 18,USA,International City,Red Member,2024-11-17
333,Fan_00333,Male,25-34,UK,Liverpool,Premium/Lounge,2020-12-10
334,Fan_00334,Male,45-54,UK,Liverpool,Red Member,2021-02-01
335,Fan_00335,Female,25-34,China,International City,Junior Member,2024-08-04
336,Fan_00336,Male,18-24,Ireland,International City,Non-Member,2020-10-26
337,Fan_00337,Non-binary,18-24,UK,London,Premium/Lounge,2024-04-03
338,Fan_00338,Male,18-24,Ireland,International City,Premium/Lounge,2023-07-10
339,Fan_00339,Female,45-54,Norway,International City,Premium/Lounge,2023-04-01
340,Fan_00340,Non-binary,45-54,USA,International City,Full Member,2023-07-25
341,Fan_00341,Female,55+,Thailand,International City,Red Member,2020-11-05
342,Fan_00342,Male,35-44,USA,International City,Red Member,2023-07-17
343,Fan_00343,Non-binary,Under 18,UK,Liverpool,Red Member,2022-11-05
344,Fan_00344,Female,Under 18,UK,London,Non-Member,2022-01-25
345,Fan_00345,Male,45-54,UK,London,Full Member,2022-11-04
346,Fan_00346,Non-binary,55+,UK,Liverpool,Non-Member,2022-07-10
347,Fan_00347,Non-binary,18-24,Thailand,International City,Red Member,2023-05-24
348,Fan_00348,Non-binary,18-24,Norway,International City,Non-Member,2022-07-11
349,Fan_00349,Female,55+,UK,Liverpool,Non-Member,2022-10-30
350,Fan_00350,Male,Under 18,Ireland,International City,Non-Member,2023-12-20
351,Fan_00351,Female,45-54,USA,International City,Red Member,2023-06-02
352,Fan_00352,Female,35-44,UK,London,Red Member,2024-05-05
353,Fan_00353,Male,55+,UK,Liverpool,Full Member,2021-11-16
354,Fan_00354,Non-binary,55+,UK,London,Red Member,2021-08-04
355,Fan_00355,Non-binary,45-54,UK,Liverpool,Non-Member,2021-11-13
356,Fan_00356,Male,25-34,UK,Liverpool,Non-Member,2023-09-05
357,Fan_00357,Non-binary,35-44,Australia,International City,Non-Member,2023-05-03
358,Fan_00358,Male,25-34,China,International City,Full Member,2022-02-10
359,Fan_00359,Female,18-24,Ireland,International City,Junior Member,2023-12-10
360,Fan_00360,Non-binary,45-54,China,International City,Non-Member,2023-08-16
361,Fan_00361,Female,45-54,Australia,International City,Red Member,2020-02-07
362,Fan_00362,Male,25-34,UK,London,Premium/Lounge,2022-09-22
363,Fan_00363,Male,18-24,UK,London,Non-Member,2021-08-28
364,Fan_00364,Non-binary,55+,UK,Liverpool,Red Member,2020-03-18
365,Fan_00365,Female,45-54,Ireland,International City,Non-Member,2023-05-08
366,Fan_00366,Male,55+,UK,London,Premium/Lounge,2023-07-03
367,Fan_00367,Male,35-44,UK,Liverpool,Red Member,2023-10-17
368,Fan_00368,Male,35-44,China,International City,Full Member,2021-08-06
369,Fan_00369,Non-binary,35-44,China,International City,Non-Member,2022-12-29
370,Fan_00370,Female,18-24,UK,London,Red Member,2023-10-21
371,Fan_00371,Female,35-44,Thailand,International City,Premium/Lounge,2021-07-31
372,Fan_00372,Female,45-54,China,International City,Red Member,2022-05-07
373,Fan_00373,Non-binary,18-24,UK,Liverpool,Non-Member,2020-04-16
374,Fan_00374,Female,25-34,Ireland,International City,Full Member,2020-07-29
375,Fan_00375,Non-binary,Under 18,China,International City,Non-Member,2020-06-20
376,Fan_00376,Male,25-34,China,International City,Red Member,2022-11-17
377,Fan_00377,Male,18-24,UK,Liverpool,Red Member,2021-12-16
378,Fan_00378,Female,45-54,UK,Liverpool,Red Member,2021-04-27
379,Fan_00379,Female,18-24,UK,Liverpool,Non-Member,2021-10-14
